Observation.id,Observation.date,Description,Observation.duration,Observation.type,Source,Time.offset..s.,Media.duration..s.,FPS,kayac,bote,persona,Subject,Behavior,Behavioral.category,Behavior.type,Time,Media.file.name,Image.index,Image.file.path,Comment,Modifier..1
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,17.217,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,23.657,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,27.578,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 2,,,28.095,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 2,,,38.562,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 2,,,48.729,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 2,,,58.829,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 3,,,64.985,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 3,,,75.068,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 4,,,87.371,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 4,,,92.586,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 4,,,152.636,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,222.889,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,248.698,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,258.715,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,268.732,D:/BORIS/DJI_0493.MP4,,,,
,,,,,player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4,,,,,,,,Organism 1,,,278.749,D:/BORIS/DJI_0493.MP4,,,,
