"","Observation.id","Observation.date","Description","Observation.duration","Observation.type","Source","Time.offset..s.","Media.duration..s.","FPS","kayac","bote","persona","Subject","Behavior","Behavioral.category","Behavior.type","Time","Media.file.name","Image.index","Image.file.path","Comment","Modifier..1","Video_fileName","HORA LLEGADA PUNTO 1 Corr","time_observation","latitude","longitude"
"1",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,17.217,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:25:39",-0.758172,-90.280267
"2",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,23.657,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:25:45",-0.758216,-90.279754
"3",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,27.578,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:25:49",-0.757746,-90.280121
"4",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 2",NA,NA,28.095,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:25:50",-0.758362,-90.279504
"5",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 2",NA,NA,38.562,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:26:00",-0.758201,-90.279005
"6",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 2",NA,NA,48.729,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:26:10",-0.757893,-90.278638
"7",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 2",NA,NA,58.829,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:26:20",-0.758524,-90.279945
"8",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 3",NA,NA,64.985,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:26:27",-0.756953,-90.279886
"9",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 3",NA,NA,75.068,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:26:37",-0.756337,-90.279049
"10",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 4",NA,NA,87.371,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:26:49",-0.757203,-90.279049
"11",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 4",NA,NA,92.586,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:26:54",-0.757364,-90.279152
"12",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 4",NA,NA,152.636,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:27:54",-0.757218,-90.278755
"13",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,222.889,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:29:05",-0.757977,-90.279438
"14",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,248.698,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:29:30",-0.757772,-90.279042
"15",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,258.715,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:29:40",-0.757948,-90.278396
"16",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,268.732,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:29:50",-0.758417,-90.27913
"17",NA,NA,NA,NA,NA,"player #1:D:/BORIS/DJI_0493.MP4;D:/BORIS/DJI_0494.MP4",NA,NA,NA,NA,NA,NA,NA,"Organism 1",NA,NA,278.749,"D:/BORIS/DJI_0493.MP4",NA,NA,NA,NA,"DJI_0493.MP4",2025-02-16 09:25:22.142,"2025-02-16 09:30:00",-0.758403,-90.279702
